datetime,temperature,solar_irradiance,windspeed_north,windspeed_east,pressure,spec_humidity
2019-01-10 04:00:00,2.7902465820312727,0.0,-0.64529264,-0.84022677,102211.12,0.003502553
2019-01-10 05:00:00,3.1483703613281477,0.0,-0.705654,-0.6446184,102212.75,0.0035002732
2019-01-10 06:00:00,3.2848144531250227,0.0,-0.7959683,-0.47785926,102236.57,0.0035220315
2019-01-10 07:00:00,3.4431396484375227,0.0,-0.98106635,-0.16273773,102262.27,0.0035493544
2019-01-10 08:00:00,3.3124938964843977,16.757812,-1.276347,0.065648675,102291.9,0.0036113416
2019-01-10 09:00:00,3.7414184570312727,104.90625,-1.494069,0.11428976,102315.49,0.0038108036
2019-01-10 10:00:00,4.542871093750023,198.6875,-1.4865931,0.10362905,102325.35,0.0041427948
2019-01-10 11:00:00,5.630395507812523,256.25,-1.7262602,0.33663142,102303.234,0.0042019878
2019-01-10 12:00:00,6.318170166015648,253.9375,-2.0026267,0.68529433,102256.37,0.004346718
2019-01-10 13:00:00,6.767114257812523,197.8125,-2.2099676,0.87105036,102214.98,0.0045927935
2019-01-10 14:00:00,7.033532714843773,112.90625,-2.03976,0.8164761,102210.19,0.004939841
2019-01-10 15:00:00,6.904260253906273,34.109375,-1.900811,0.755235,102203.51,0.005094241
2019-01-10 16:00:00,6.383081054687523,0.81274414,-1.9667768,0.7677148,102197.23,0.0052319956
2019-01-10 17:00:00,6.531243896484398,0.0,-2.049725,0.8241378,102202.84,0.00553815
2019-01-10 18:00:00,6.963616943359398,0.0,-2.267253,0.8427968,102220.68,0.0058293464
2019-01-10 19:00:00,7.252954101562523,0.0,-2.4581022,0.7914831,102234.445,0.006066322
2019-01-10 20:00:00,7.437463378906273,0.0,-2.5546823,0.71757746,102250.2,0.0062132985
2019-01-10 21:00:00,7.477044677734398,0.0,-2.7708156,0.6609061,102263.82,0.0063105617
2019-01-10 22:00:00,7.597283935546898,0.0,-3.0782802,0.5082631,102275.78,0.006321946
2019-01-10 23:00:00,7.566003417968773,0.0,-3.3471265,0.35985255,102280.22,0.006278098
2019-01-11 00:00:00,7.607812500000023,0.0,-3.4952617,0.32487935,102269.32,0.0060759857
2019-01-11 01:00:00,7.377099609375023,0.0,-3.6236198,0.41745555,102263.484,0.005761097
2019-01-11 02:00:00,6.985070800781273,0.0,-3.7781096,0.69649553,102267.125,0.005499663
2019-01-11 03:00:00,6.706933593750023,0.0,-3.9991336,0.9781383,102265.67,0.0053353794
2019-01-11 04:00:00,6.660485839843773,0.0,-4.309472,1.06277,102247.1,0.005355785
2019-01-11 05:00:00,6.891442871093773,0.0,-4.4967833,0.879038,102236.44,0.005457977
2019-01-11 06:00:00,7.208978271484398,0.0,-4.4587526,0.59209883,102248.195,0.0055504763
2019-01-11 07:00:00,7.386865234375023,0.0,-4.385561,0.3620662,102285.414,0.0056831804
2019-01-11 08:00:00,7.723413085937523,7.533203,-4.1788363,0.24788684,102316.25,0.005759133
